title,country,jurisdiction,year,court,offense_type,age_group,facts,summary,outcome,source_url
Matter of Youth-0282,United States,Colorado,2024,Denver Juvenile Court,cybercrime,15-17,Juvenile circulated exam answers digitally using personal device. Victim notified school. First contact with juvenile court.,cybercrime incident at transit station; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
State v. Minor-0028,United States,Michigan,2020,Wayne County Juvenile Court,truancy,under 14,Habitual truancy petition for 13-year-old failing to attend a community center. No prior record.,Juvenile truancy case with no prior record in Michigan.,Youth education program; supervised release.,https://www.courtlistener.com/
R v. Y-0819 (Youth),United Kingdom,England,2019,Youth Court Birmingham,truancy,15-17,Habitual truancy petition for 15-year-old failing to attend a community center. First offense.,Juvenile truancy case with no prior record in England.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0053,United States,Washington,2022,King County Juvenile Court,robbery,under 14,Strong-arm robbery allegation: 14-year-old and a public park. No prior delinquency history.,Juvenile robbery case with no prior record in Washington.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Child 0374,India,Uttar Pradesh,2018,JJ Board Lucknow,runaway,15-17,16-year-old left home and found at a recreation center. Alleged neglect at home. First contact with juvenile court.,runaway incident at recreation center; minor in 15-17 age group.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
Matter of Youth-0124,United States,Massachusetts,2019,Suffolk Juvenile Court,trespass,15-17,Unauthorized entry to a neighbor's garage by 15-year-old. No prior record.,Juvenile trespass case with no prior record in Massachusetts.,Anger management; probation 9 months.,https://www.courtlistener.com/
Matter of Youth-0284,United States,Colorado,2021,Denver Juvenile Court,drug possession,under 14,14-year-old found with alcohol at a retail store. First offense.,drug possession matter involving under 14 juvenile in Colorado.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Minor 0337,India,Karnataka,2019,JJ Board Bengaluru,shoplifting,15-17,17-year-old apprehended shoplifting clothing from a retail store. One prior warning only.,Juvenile shoplifting case with limited history in Karnataka.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Minor 0646,United Kingdom,Scotland,2021,Sheriff Court Glasgow,theft,under 14,Theft reported: 13-year-old took clothing belonging to another at school. First contact with juvenile court.,theft matter involving under 14 juvenile in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0196,United States,Massachusetts,2023,Suffolk Juvenile Court,trespass,15-17,Unauthorized entry to a neighbor's garage by 16-year-old. First contact with juvenile court.,trespass matter involving 15-17 juvenile in Massachusetts.,Probation 6 months; counseling.,https://www.courtlistener.com/
R v. Minor 0711,United Kingdom,Wales,2019,Youth Court Cardiff,arson,15-17,Fire incident at school; 17-year-old admitted involvement. No prior record.,arson matter involving 15-17 juvenile in Wales.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
In re C-0789 (Child),United Kingdom,England,2021,Youth Court Birmingham,runaway,15-17,16-year-old left home and found at a transit station. Child referred by school counselor. No prior delinquency history.,runaway matter involving 15-17 juvenile in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0146,United States,Arizona,2018,Maricopa County Juvenile Court,theft,15-17,Theft reported: 16-year-old took snacks belonging to another at a neighbor's garage. First offense.,theft matter involving 15-17 juvenile in Arizona.,Youth education program; supervised release.,https://www.courtlistener.com/
R v. Y-0777 (Youth),United Kingdom,England,2020,Youth Court London,trespass,under 14,Unauthorized entry to a public park by 13-year-old. No prior record.,Juvenile trespass case with no prior record in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0034,United States,Michigan,2019,Wayne County Juvenile Court,theft,15-17,Theft reported: 16-year-old took sporting goods belonging to another at a local shop. No prior delinquency history.,theft matter involving 15-17 juvenile in Michigan.,Youth education program; supervised release.,https://www.courtlistener.com/
In re J.D.-0159,United States,Colorado,2022,Denver Juvenile Court,robbery,15-17,17-year-old took school supplies from peer at a public park using physical force. No prior record.,robbery incident at public park; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Minor 0389,India,Bihar,2023,JJ Board Patna,harassment,15-17,15-year-old sent repeated threatening messages to peer via TikTok. One prior warning only.,harassment matter involving 15-17 juvenile in Bihar.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re J.D.-0139,United States,Colorado,2024,Denver Juvenile Court,burglary,15-17,17-year-old entered a local shop without permission and took a mobile phone. First contact with juvenile court.,Juvenile burglary case with no prior record in Colorado.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re C-0730 (Child),United Kingdom,England,2024,Youth Court London,arson,15-17,Fire incident at school; 17-year-old admitted involvement. No prior record.,arson matter involving 15-17 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0689 (Youth),United Kingdom,Scotland,2021,Sheriff Court Glasgow,vandalism,15-17,Minor spray-painted a classroom window; identified via surveillance at a transit station. First offense.,Juvenile vandalism case with no prior record in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0372),India,Punjab,2021,JJ Board Chandigarh,vandalism,15-17,Minor spray-painted a bench; identified via surveillance at a neighbor's garage. No prior record.,vandalism matter involving 15-17 juvenile in Punjab.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
R v. Y-0795 (Youth),United Kingdom,Scotland,2024,Sheriff Court Edinburgh,drug possession,under 14,Minor discovered carrying alcohol during a neighbor's garage search. No prior delinquency history.,drug possession incident at neighbor's garage; minor in under 14 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0749 (Child),United Kingdom,England,2023,Youth Court Bristol,drug possession,15-17,17-year-old found with prescription pills at a local shop. No prior delinquency history.,Juvenile drug possession case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0476),India,Karnataka,2020,JJ Board Bengaluru,burglary,under 14,14-year-old entered a public park without permission and took sporting goods. No prior delinquency history.,Juvenile burglary case with no prior record in Karnataka.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
In re Minor 0492,India,Haryana,2023,JJ Board Gurugram,drug possession,15-17,Minor discovered carrying vape cartridges during a retail store search. One prior warning only.,drug possession matter involving 15-17 juvenile in Haryana.,Community service; probation.,https://services.ecourts.gov.in/
In re Child 0359,India,Kerala,2022,JJ Board Kochi,theft,under 14,13-year-old stole snacks from a neighbor's garage. No prior delinquency history.,theft matter involving under 14 juvenile in Kerala.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re J.D.-0186,United States,Illinois,2020,Cook County Juvenile Court,harassment,15-17,Bullying complaint: 17-year-old harassed classmate at school. First offense.,harassment matter involving 15-17 juvenile in Illinois.,Youth education program; supervised release.,https://www.courtlistener.com/
In re C-0681 (Child),United Kingdom,England,2022,Youth Court Birmingham,harassment,under 14,13-year-old sent repeated threatening messages to peer via text messages. First offense.,harassment matter involving under 14 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0467),India,Karnataka,2020,JJ Board Bengaluru,arson,15-17,Fire incident at a neighbor's garage; 15-year-old admitted involvement. First offense.,arson incident at neighbor's garage; minor in 15-17 age group.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re C-0684 (Child),United Kingdom,Wales,2021,Youth Court Cardiff,theft,15-17,17-year-old stole cosmetics from a public park. No prior delinquency history.,theft incident at public park; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0756 (Youth),United Kingdom,England,2021,Youth Court Birmingham,trespass,under 14,Unauthorized entry to a transit station by 14-year-old. First contact with juvenile court.,trespass matter involving under 14 juvenile in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0778 (Youth),United Kingdom,England,2023,Youth Court London,weapon possession,15-17,16-year-old found with pepper spray at a public park. Not used. No prior delinquency history.,weapon possession incident at public park; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0483,India,Delhi,2024,JJ Board Delhi,robbery,15-17,16-year-old took a mobile phone from peer at a neighbor's garage using verbal intimidation. No prior delinquency history.,robbery matter involving 15-17 juvenile in Delhi.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re J.D.-0170,United States,Florida,2019,Miami-Dade Juvenile Court,trespass,under 14,14-year-old entered restricted a local shop after hours. No prior record.,Juvenile trespass case with no prior record in Florida.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0025,United States,North Carolina,2024,Mecklenburg Juvenile Court,runaway,15-17,Runaway minor located after two days; Family conflict reported. First offense.,Juvenile runaway case with no prior record in North Carolina.,Anger management; probation 9 months.,https://www.courtlistener.com/
X v. State (JJ-0354),India,Madhya Pradesh,2021,JJ Board Bhopal,arson,15-17,Fire incident at a transit station; 16-year-old admitted involvement. No prior delinquency history.,arson incident at transit station; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
X v. State (JJ-0475),India,Madhya Pradesh,2024,JJ Board Bhopal,robbery,15-17,Strong-arm robbery allegation: 17-year-old and a neighbor's garage. No prior delinquency history.,robbery incident at neighbor's garage; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
X v. State (JJ-0594),India,Punjab,2018,JJ Board Chandigarh,harassment,under 14,Bullying complaint: 13-year-old harassed classmate at a public park. First contact with juvenile court.,harassment incident at public park; minor in under 14 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
State v. Minor-0164,United States,Virginia,2020,Fairfax Juvenile Court,assault,15-17,16-year-old involved in a transit station fight causing minor bruising to peer. No weapon.,assault incident at transit station; minor in 15-17 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re C-0757 (Child),United Kingdom,England,2022,Youth Court Manchester,truancy,15-17,Habitual truancy petition for 15-year-old failing to attend a local shop. First offense.,truancy incident at local shop; minor in 15-17 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0269,United States,Ohio,2023,Cuyahoga County Juvenile Court,weapon possession,under 14,Security search at school revealed a metal pipe in 14-year-old's bag. First contact with juvenile court.,weapon possession incident at school; minor in under 14 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Y-0647 (Youth),United Kingdom,England,2020,Youth Court Leeds,truancy,under 14,Habitual truancy petition for 13-year-old failing to attend a community center. No prior delinquency history.,Juvenile truancy case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0251,United States,Colorado,2020,Denver Juvenile Court,vandalism,under 14,Minor spray-painted a classroom window; identified via surveillance at a community center. No prior record.,Juvenile vandalism case with no prior record in Colorado.,Youth education program; supervised release.,https://www.courtlistener.com/
X v. State (JJ-0586),India,Telangana,2021,JJ Board Hyderabad,vandalism,15-17,17-year-old damaged playground equipment at school. One prior warning only.,Juvenile vandalism case with limited history in Telangana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
State v. Minor-0093,United States,North Carolina,2020,Mecklenburg Juvenile Court,robbery,under 14,14-year-old took snacks from peer at a community center using physical force. First offense.,Juvenile robbery case with no prior record in North Carolina.,House arrest 30 days; probation.,https://www.courtlistener.com/
State v. Minor-0009,United States,Massachusetts,2022,Suffolk Juvenile Court,shoplifting,under 14,Minor stole clothing from school; apprehended by security. First offense.,shoplifting incident at school; minor in under 14 age group.,Restitution; informal probation.,https://www.courtlistener.com/
X v. State (JJ-0387),India,Tamil Nadu,2018,JJ Board Chennai,harassment,15-17,17-year-old sent repeated threatening messages to peer via TikTok. First contact with juvenile court.,harassment matter involving 15-17 juvenile in Tamil Nadu.,Community service; probation.,https://services.ecourts.gov.in/
In re J.D.-0061,United States,Texas,2024,Harris County Juvenile Court,weapon possession,under 14,14-year-old found with a metal pipe at a community center. Not used. First contact with juvenile court.,weapon possession incident at community center; minor in under 14 age group.,Probation 6 months; counseling.,https://www.courtlistener.com/
Matter of Youth-0095,United States,Florida,2020,Miami-Dade Juvenile Court,assault,15-17,School altercation: 17-year-old struck another student at a public park. No prior delinquency history.,assault incident at public park; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Child 0313,India,Maharashtra,2018,Juvenile Justice Board Mumbai,theft,15-17,Theft reported: 17-year-old took electronics belonging to another at a neighbor's garage. First offense.,Juvenile theft case with no prior record in Maharashtra.,Community service; probation.,https://services.ecourts.gov.in/
R v. Y-0743 (Youth),United Kingdom,England,2023,Youth Court Birmingham,theft,15-17,16-year-old stole a bicycle from a community center. No prior delinquency history.,Juvenile theft case with no prior record in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0147,United States,Illinois,2018,Cook County Juvenile Court,shoplifting,under 14,Minor stole snacks from a transit station; apprehended by security. No prior delinquency history.,shoplifting incident at transit station; minor in under 14 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
State v. Minor-0205,United States,North Carolina,2022,Mecklenburg Juvenile Court,drug possession,under 14,Minor discovered carrying prescription pills during school search. First offense.,drug possession incident at school; minor in under 14 age group.,Restitution; informal probation.,https://www.courtlistener.com/
Matter of Youth-0130,United States,Arizona,2023,Maricopa County Juvenile Court,curfew violation,15-17,Repeated curfew violations by 17-year-old in a retail store. No prior delinquency history.,curfew violation incident at retail store; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
Matter of Youth-0065,United States,Ohio,2021,Cuyahoga County Juvenile Court,arson,under 14,Fire incident at a neighbor's garage; 13-year-old admitted involvement. No prior record.,arson incident at neighbor's garage; minor in under 14 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
Matter of Youth-0195,United States,Georgia,2023,Fulton County Juvenile Court,trespass,15-17,17-year-old entered restricted a neighbor's garage after hours. No prior delinquency history.,trespass incident at neighbor's garage; minor in 15-17 age group.,House arrest 30 days; probation.,https://www.courtlistener.com/
R v. Minor 0869,United Kingdom,Northern Ireland,2024,Youth Court Belfast,cybercrime,15-17,Juvenile accessed school network without authorization using personal device. Victim notified school. First contact with juvenile court.,cybercrime incident at recreation center; minor in 15-17 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0830 (Youth),United Kingdom,England,2018,Youth Court Manchester,theft,under 14,13-year-old stole sporting goods from a transit station. One prior warning only.,theft matter involving under 14 juvenile in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0557,India,West Bengal,2023,JJ Board Kolkata,cybercrime,under 14,Juvenile sent phishing messages to classmates using personal device. Victim notified school. One prior warning only.,cybercrime matter involving under 14 juvenile in West Bengal.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
R v. Minor 0704,United Kingdom,England,2019,Youth Court Leeds,robbery,under 14,13-year-old took sporting goods from peer at a local shop using physical force. No prior record.,robbery matter involving under 14 juvenile in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0224,United States,Massachusetts,2020,Suffolk Juvenile Court,weapon possession,under 14,Security search at a local shop revealed a pocketknife in 14-year-old's bag. One prior warning only.,Juvenile weapon possession case with limited history in Massachusetts.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Child 0539,India,Haryana,2020,JJ Board Gurugram,shoplifting,15-17,15-year-old apprehended shoplifting sporting goods from a local shop. One prior warning only.,shoplifting incident at local shop; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
State v. Minor-0072,United States,North Carolina,2022,Mecklenburg Juvenile Court,theft,under 14,14-year-old stole cosmetics from a recreation center. No prior record.,theft matter involving under 14 juvenile in North Carolina.,Anger management; probation 9 months.,https://www.courtlistener.com/
Matter of Youth-0215,United States,Illinois,2024,Cook County Juvenile Court,weapon possession,15-17,17-year-old found with a metal pipe at a neighbor's garage. Not used. First contact with juvenile court.,Juvenile weapon possession case with no prior record in Illinois.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Minor 0628,United Kingdom,England,2019,Youth Court Manchester,vandalism,15-17,Minor spray-painted playground equipment; identified via surveillance at a community center. First offense.,vandalism matter involving 15-17 juvenile in England.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0888,United Kingdom,England,2024,Youth Court Manchester,drug possession,15-17,Minor discovered carrying vape cartridges during a transit station search. First offense.,drug possession incident at transit station; minor in 15-17 age group.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
In re C-0879 (Child),United Kingdom,Northern Ireland,2019,Youth Court Belfast,theft,under 14,13-year-old stole snacks from a local shop. No prior delinquency history.,Juvenile theft case with no prior record in Northern Ireland.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0528),India,Madhya Pradesh,2023,JJ Board Bhopal,runaway,15-17,17-year-old left home and found at a community center. Family conflict reported. First offense.,runaway matter involving 15-17 juvenile in Madhya Pradesh.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
X v. State (JJ-0376),India,Madhya Pradesh,2022,JJ Board Bhopal,assault,15-17,17-year-old involved in a recreation center fight causing minor bruising to peer. No weapon.,Juvenile assault case with limited history in Madhya Pradesh.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
R v. Minor 0664,United Kingdom,England,2022,Youth Court Bristol,arson,under 14,Fire incident at a retail store; 14-year-old admitted involvement. First contact with juvenile court.,Juvenile arson case with no prior record in England.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
In re C-0617 (Child),United Kingdom,Northern Ireland,2022,Youth Court Belfast,curfew violation,15-17,Repeated curfew violations by 17-year-old in a local shop. No prior record.,Juvenile curfew violation case with no prior record in Northern Ireland.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0688,United Kingdom,England,2018,Youth Court London,harassment,15-17,Bullying complaint: 15-year-old harassed classmate at a community center. No prior delinquency history.,harassment matter involving 15-17 juvenile in England.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Minor 0424,India,Delhi,2018,JJ Board Delhi,burglary,15-17,15-year-old entered school without permission and took school supplies. First contact with juvenile court.,burglary matter involving 15-17 juvenile in Delhi.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re J.D.-0300,United States,North Carolina,2018,Mecklenburg Juvenile Court,runaway,15-17,Runaway minor located after two days; Child referred by school counselor. No prior record.,Juvenile runaway case with no prior record in North Carolina.,House arrest 30 days; probation.,https://www.courtlistener.com/
X v. State (JJ-0452),India,Gujarat,2024,JJ Board Ahmedabad,vandalism,under 14,13-year-old damaged a bus shelter at a neighbor's garage. No prior record.,vandalism matter involving under 14 juvenile in Gujarat.,Restitution; probation 12 months.,https://services.ecourts.gov.in/
In re Child 0460,India,Telangana,2019,JJ Board Hyderabad,assault,15-17,School altercation: 17-year-old struck another student at a recreation center. No prior delinquency history.,assault matter involving 15-17 juvenile in Telangana.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re Child 0434,India,Gujarat,2021,JJ Board Ahmedabad,robbery,15-17,17-year-old took a bicycle from peer at a neighbor's garage using physical force. First contact with juvenile court.,robbery matter involving 15-17 juvenile in Gujarat.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
R v. Y-0848 (Youth),United Kingdom,England,2019,Youth Court Leeds,weapon possession,under 14,13-year-old found with a metal pipe at a retail store. Not used. No prior delinquency history.,weapon possession incident at retail store; minor in under 14 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0512),India,Delhi,2021,JJ Board Delhi,curfew violation,15-17,Repeated curfew violations by 17-year-old in a public park. No prior record.,curfew violation incident at public park; minor in 15-17 age group.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
In re J.D.-0148,United States,Texas,2023,Harris County Juvenile Court,cybercrime,15-17,16-year-old accessed school network without authorization at a community center. No financial gain. No prior record.,cybercrime incident at community center; minor in 15-17 age group.,Anger management; probation 9 months.,https://www.courtlistener.com/
In re Child 0503,India,Odisha,2023,JJ Board Bhubaneswar,assault,15-17,15-year-old involved in a community center fight causing superficial scratches to peer. No weapon.,assault incident at community center; minor in 15-17 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
In re C-0754 (Child),United Kingdom,England,2018,Youth Court Birmingham,cybercrime,under 14,Juvenile installed unauthorized software on school laptops using personal device. Victim notified school. First offense.,cybercrime incident at school; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
R v. Minor 0679,United Kingdom,England,2020,Youth Court Leeds,trespass,under 14,13-year-old entered restricted a recreation center after hours. One prior warning only.,trespass incident at recreation center; minor in under 14 age group.,Reparation order; curfew requirement.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0865 (Youth),United Kingdom,England,2023,Youth Court London,weapon possession,under 14,13-year-old found with a pocketknife at a community center. Not used. One prior warning only.,weapon possession incident at community center; minor in under 14 age group.,Detention and training order 6 months.,https://caselaw.nationalarchives.gov.uk/
In re Child 0533,India,Haryana,2018,JJ Board Gurugram,runaway,15-17,Runaway minor located after two days; Family conflict reported. One prior warning only.,Juvenile runaway case with limited history in Haryana.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
Matter of Youth-0292,United States,Texas,2019,Harris County Juvenile Court,arson,15-17,Fire incident at a public park; 17-year-old admitted involvement. One prior warning only.,arson incident at public park; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re Minor 0311,India,Karnataka,2020,JJ Board Bengaluru,harassment,15-17,16-year-old sent repeated threatening messages to peer via Snapchat. First offense.,harassment incident at local shop; minor in 15-17 age group.,Rehabilitation program; family counseling.,https://services.ecourts.gov.in/
R v. Minor 0685,United Kingdom,Wales,2018,Youth Court Cardiff,trespass,15-17,17-year-old entered restricted a transit station after hours. First contact with juvenile court.,trespass incident at transit station; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re J.D.-0103,United States,Colorado,2021,Denver Juvenile Court,harassment,15-17,17-year-old sent repeated threatening messages to peer via Instagram. One prior warning only.,harassment incident at transit station; minor in 15-17 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
In re C-0825 (Child),United Kingdom,England,2018,Youth Court Birmingham,truancy,under 14,13-year-old chronically absent from a retail store; 22 unexcused days. One prior warning only.,Juvenile truancy case with limited history in England.,Referral order 12 months.,https://caselaw.nationalarchives.gov.uk/
X v. State (JJ-0569),India,Gujarat,2023,JJ Board Ahmedabad,vandalism,under 14,Minor spray-painted a bench; identified via surveillance at a recreation center. No prior record.,Juvenile vandalism case with no prior record in Gujarat.,Observation home placement 2 months; probation.,https://services.ecourts.gov.in/
In re Minor 0436,India,West Bengal,2024,JJ Board Kolkata,truancy,under 14,14-year-old chronically absent from a retail store; 30 unexcused days. No prior record.,truancy incident at retail store; minor in under 14 age group.,Community service; probation.,https://services.ecourts.gov.in/
In re J.D.-0209,United States,Ohio,2023,Cuyahoga County Juvenile Court,cybercrime,15-17,16-year-old created fake social media accounts at a local shop. No financial gain. No prior delinquency history.,Juvenile cybercrime case with no prior record in Ohio.,Youth education program; supervised release.,https://www.courtlistener.com/
In re C-0726 (Child),United Kingdom,Scotland,2021,Sheriff Court Glasgow,theft,under 14,Theft reported: 13-year-old took electronics belonging to another at school. First contact with juvenile court.,Juvenile theft case with no prior record in Scotland.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0035,United States,Ohio,2018,Cuyahoga County Juvenile Court,weapon possession,15-17,16-year-old found with a metal pipe at a recreation center. Not used. No prior record.,weapon possession matter involving 15-17 juvenile in Ohio.,Restitution; informal probation.,https://www.courtlistener.com/
R v. Y-0732 (Youth),United Kingdom,Scotland,2023,Sheriff Court Glasgow,runaway,under 14,14-year-old left home and found at a retail store. Alleged neglect at home. First contact with juvenile court.,runaway matter involving under 14 juvenile in Scotland.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
In re C-0831 (Child),United Kingdom,Wales,2020,Youth Court Cardiff,burglary,under 14,13-year-old entered a public park without permission and took a bicycle. First offense.,burglary incident at public park; minor in under 14 age group.,Referral order; victim awareness program.,https://caselaw.nationalarchives.gov.uk/
In re Child 0332,India,Delhi,2024,JJ Board Delhi,harassment,15-17,Bullying complaint: 17-year-old harassed classmate at school. First offense.,harassment matter involving 15-17 juvenile in Delhi.,Community service; probation.,https://services.ecourts.gov.in/
State v. Minor-0006,United States,New York,2023,Kings County Family Court,vandalism,under 14,Minor spray-painted a bus shelter; identified via surveillance at a transit station. First contact with juvenile court.,vandalism incident at transit station; minor in under 14 age group.,Youth education program; supervised release.,https://www.courtlistener.com/
In re J.D.-0214,United States,Michigan,2024,Wayne County Juvenile Court,weapon possession,under 14,Security search at a public park revealed a BB gun in 14-year-old's bag. First offense.,weapon possession matter involving under 14 juvenile in Michigan.,Restitution; informal probation.,https://www.courtlistener.com/
State v. Minor-0071,United States,Virginia,2023,Fairfax Juvenile Court,runaway,15-17,Runaway minor located after seven days; Child referred by school counselor. First offense.,runaway matter involving 15-17 juvenile in Virginia.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
R v. Minor 0901,United Kingdom,England,2019,Youth Court Birmingham,drug possession,under 14,Minor discovered carrying alcohol during a community center search. No prior record.,Juvenile drug possession case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
R v. Y-0853 (Youth),United Kingdom,England,2019,Youth Court London,assault,15-17,17-year-old involved in a transit station fight causing no serious injury to peer. No weapon.,Juvenile assault case with no prior record in England.,Youth rehabilitation order; supervision.,https://caselaw.nationalarchives.gov.uk/
State v. Minor-0119,United States,North Carolina,2024,Mecklenburg Juvenile Court,runaway,under 14,Runaway minor located after three days; Alleged neglect at home. No prior delinquency history.,Juvenile runaway case with no prior record in North Carolina.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
In re C-0669 (Child),United Kingdom,Scotland,2023,Sheriff Court Glasgow,vandalism,15-17,Minor spray-painted restroom fixtures; identified via surveillance at school. No prior record.,vandalism incident at school; minor in 15-17 age group.,Youth conditional discharge.,https://caselaw.nationalarchives.gov.uk/
Matter of Youth-0243,United States,Washington,2022,King County Juvenile Court,assault,under 14,14-year-old involved in a local shop fight causing a split lip to peer. No weapon.,assault matter involving under 14 juvenile in Washington.,Restitution; informal probation.,https://www.courtlistener.com/
In re J.D.-0075,United States,California,2018,Los Angeles Juvenile Court,truancy,15-17,16-year-old chronically absent from a neighbor's garage; 40 unexcused days. No prior record.,truancy incident at neighbor's garage; minor in 15-17 age group.,Diversion program; case dismissed upon completion.,https://www.courtlistener.com/
State v. Minor-0238,United States,Pennsylvania,2021,Philadelphia Family Court,harassment,15-17,17-year-old sent repeated threatening messages to peer via TikTok. First contact with juvenile court.,harassment incident at public park; minor in 15-17 age group.,Probation 12 months; community service.,https://www.courtlistener.com/
In re Minor 0601,India,Maharashtra,2020,Juvenile Justice Board Mumbai,runaway,under 14,Runaway minor located after two days; Alleged neglect at home. First contact with juvenile court.,runaway incident at local shop; minor in under 14 age group.,Counseling under JJ Act; 6 months supervision.,https://services.ecourts.gov.in/
Matter of Youth-0236,United States,Florida,2018,Miami-Dade Juvenile Court,shoplifting,15-17,17-year-old apprehended shoplifting cosmetics from a public park. No prior record.,Juvenile shoplifting case with no prior record in Florida.,Probation 6 months; counseling.,https://www.courtlistener.com/
In re Minor 0382,India,Haryana,2022,JJ Board Gurugram,burglary,15-17,Break-in at a retail store; 15-year-old suspect identified. One prior warning only.,Juvenile burglary case with limited history in Haryana.,Placement in special home; follow-up review.,https://services.ecourts.gov.in/
